Game,Time,Prob YRFI,NRFI/YRFI line,Imp. Odds (Pick),Prob Away YRFI,Prob Home YRFI,C/E
MIL @ CIN,6:10 PM ET,0.6558,-120,-190,0.2692,0.5311,C
BOS @ BAL,7:05 PM ET,0.6235,+105,-165,0.4857,0.262,C
TOR @ KC,8:10 PM ET,0.6225,-125,-164,0.354,0.4186,E
CHC @ MIA,7:10 PM ET,0.5871,-105,-142,0.3975,0.3116,C
TB @ TEX,8:05 PM ET,0.5871,-105,-142,0.4625,0.229,E
LAA @ PIT,6:45 PM ET,0.5274,-110,-111,0.3513,0.274,E
ATH @ SEA,10:10 PM ET,0.5083,+110,-103,0.3013,0.2936,E
MIN @ CWS,7:40 PM ET,0.4797,+100,-108,0.4235,0.0944,C
SF @ NYM,7:10 PM ET,0.4721,-115,-111,0.2317,0.3126,C
STL @ COL,8:40 PM ET,0.4603,+135,-117,0.2756,0.2611,E
DET @ CLE,7:15 PM ET,0.4538,-120,-120,0.1344,0.3671,E
NYY @ SD,9:40 PM ET,0.4482,-130,-123,0.078,0.4055,E
ARI @ HOU,8:10 PM ET,0.4143,N/A,-141,0.2346,0.2353,C
WSH @ LAD,10:10 PM ET,0.3734,-115,-167,0.0412,0.3465,E
ATL @ PHI,6:40 PM ET,0.2794,-175,-257,0.1751,0.1244,C
DET @ CLE,2:10 PM ET,0.2667,-120,-274,0.1329,0.1543,C
